OrderID,OrderDate,Customer,Region,Product,Category,UnitPrice,Quantity,Discount,Sales,Cost,Profit
ORD100000,2023-04-13,Customer_286,South,Office Chair,Furniture,120.0,2,0.0,240.0,132.0,108.0
ORD100001,2024-03-11,Customer_144,North,Webcam HD,Electronics,45.0,3,0.1,121.5,81.0,40.5
ORD100002,2023-09-28,Customer_19,North,USB-C Cable,Electronics,8.0,2,0.05,15.2,13.6,1.6
ORD100003,2023-04-17,Customer_18,Central,USB-C Cable,Electronics,8.0,4,0.1,28.8,18.24,10.56
ORD100004,2023-03-13,Customer_257,East,Webcam HD,Electronics,45.0,2,0.0,90.0,67.5,22.5
ORD100005,2024-12-01,Customer_78,South,Bluetooth Speaker,Electronics,55.0,4,0.1,198.0,132.0,66.0
ORD100006,2023-01-21,Customer_175,South,"Monitor 24""",Electronics,130.0,5,0.3,455.0,500.5,-45.5
ORD100007,2024-09-06,Customer_194,South,"Monitor 24""",Electronics,130.0,3,0.1,351.0,296.4,54.6
ORD100008,2023-05-02,Customer_113,West,Wireless Mouse,Electronics,15.0,4,0.0,60.0,37.2,22.8
ORD100009,2024-04-11,Customer_114,South,External HDD,Electronics,85.0,4,0.2,272.0,214.2,57.8
ORD100010,2023-08-03,Customer_222,Central,Smartphone Case,Accessories,10.0,4,0.0,40.0,30.0,10.0
ORD100011,2023-11-27,Customer_166,West,Pen Set,Stationery,5.0,4,0.1,18.0,13.4,4.6
ORD100012,2024-04-03,Customer_132,West,External HDD,Electronics,85.0,2,0.2,136.0,103.7,32.3
ORD100013,2023-03-29,Customer_264,South,"Monitor 24""",Electronics,130.0,1,0.0,130.0,100.1,29.9
ORD100014,2024-01-08,Customer_55,North,Smartphone Case,Accessories,10.0,5,0.0,50.0,30.0,20.0
ORD100015,2023-04-10,Customer_131,East,SSD 1TB,Electronics,110.0,2,0.0,220.0,178.2,41.8
ORD100016,2024-10-25,Customer_288,South,Pen Set,Stationery,5.0,3,0.05,14.25,10.5,3.75
ORD100017,2023-05-11,Customer_266,North,Pen Set,Stationery,5.0,2,0.05,9.5,5.8,3.7
ORD100018,2024-10-23,Customer_162,Central,USB-C Cable,Electronics,8.0,6,0.0,48.0,36.48,11.52
ORD100019,2023-11-05,Customer_87,South,Pen Set,Stationery,5.0,2,0.0,10.0,7.1,2.9
ORD100020,2023-12-10,Customer_55,North,Office Chair,Furniture,120.0,3,0.0,360.0,230.4,129.6
ORD100021,2024-05-06,Customer_288,North,Webcam HD,Electronics,45.0,3,0.0,135.0,91.8,43.2
ORD100022,2024-02-18,Customer_178,South,Router,Electronics,60.0,2,0.0,120.0,76.8,43.2
ORD100023,2024-01-21,Customer_8,Central,Bluetooth Speaker,Electronics,55.0,1,0.2,44.0,34.65,9.35
ORD100024,2023-07-11,Customer_247,South,Wireless Mouse,Electronics,15.0,1,0.0,15.0,9.0,6.0
ORD100025,2023-10-04,Customer_255,South,External HDD,Electronics,85.0,3,0.2,204.0,168.3,35.7
ORD100026,2023-06-10,Customer_54,West,Mechanical Keyboard,Electronics,70.0,3,0.05,199.5,132.3,67.2
ORD100027,2024-04-04,Customer_249,South,Notebook,Stationery,3.0,4,0.0,12.0,9.12,2.88
ORD100028,2023-11-10,Customer_239,North,Wireless Mouse,Electronics,15.0,4,0.1,54.0,45.6,8.4
ORD100029,2023-01-22,Customer_229,North,Office Chair,Furniture,120.0,1,0.05,114.0,84.0,30.0
ORD100030,2023-09-10,Customer_67,South,Wireless Mouse,Electronics,15.0,4,0.0,60.0,46.8,13.2
ORD100031,2024-07-14,Customer_51,North,Pen Set,Stationery,5.0,2,0.0,10.0,8.0,2.0
ORD100032,2024-04-19,Customer_97,North,USB-C Cable,Electronics,8.0,2,0.0,16.0,11.52,4.48
ORD100033,2023-02-28,Customer_92,West,Router,Electronics,60.0,4,0.0,240.0,177.6,62.4
ORD100034,2024-05-25,Customer_264,North,Notebook,Stationery,3.0,1,0.0,3.0,1.89,1.11
ORD100035,2024-11-12,Customer_291,West,"Monitor 24""",Electronics,130.0,2,0.0,260.0,213.2,46.8
ORD100036,2024-04-20,Customer_96,West,USB-C Cable,Electronics,8.0,3,0.0,24.0,13.44,10.56
ORD100037,2024-11-30,Customer_88,East,Pen Set,Stationery,5.0,3,0.0,15.0,9.75,5.25
ORD100038,2023-07-09,Customer_78,South,Pen Set,Stationery,5.0,2,0.0,10.0,7.7,2.3
ORD100039,2024-11-17,Customer_288,North,Notebook,Stationery,3.0,2,0.0,6.0,3.42,2.58
ORD100040,2024-07-16,Customer_120,West,Notebook,Stationery,3.0,1,0.0,3.0,1.8,1.2
ORD100041,2024-07-20,Customer_165,East,SSD 1TB,Electronics,110.0,2,0.3,154.0,160.6,-6.6
ORD100042,2023-09-01,Customer_182,West,Laptop Stand,Accessories,25.0,3,0.0,75.0,54.0,21.0
ORD100043,2024-05-19,Customer_223,North,Router,Electronics,60.0,2,0.05,114.0,92.4,21.6
